ABV,Brewery,Description,IBU,Name,Rating,Style,URL
9 º,In Peccatum Craft Beer,"Pain Killer Guatemala Women’s Project
Coffee Breakfast Stout
Guatemala Women’s project Manos de Mujer
Coffee Breakfast Stout with 15g/l cold infused Guatemala Women´s Project specialty coffee roasted by Vernazza Coffee Roasters.",9 º,In Peccatum Pain Killer Guatemala Women’s Project,,Stout,/cervezas/in-peccatum-pain-killer-guatemala-women-s-project
4.2 º,Espina de Ferro,"# Limbo 9
Session IPA
Cervesa molt fresca i amb un cos lleuger per prendre fàcilment, destaca per uns aromes cítrics i herbàcids, en boca notes una lleu amargor seca.",4.2 º,Espina de Ferro # Limbo 9,,Session IPA,/cervezas/espina-de-ferro--limbo-9
5 º,Torolé,"Torole’ Nara es una infusión en agua pura de naranja biologica, malta de cebada y malta de trigo. Lúpulos nobles en cocción y en frio. Alta fermentación y carbonatación naturales. Sin conservantes, aromas y aditivos químicos añadidos. Alc. ... Ver más viva sin filtrar: una ligera turbidez y el depósito en el fondo son garantía de la calidad artesanal del producto. Servir en copa o vaso apropiado.
Maridaje aconsejado: arroces, pescados, mariscos, tapas variadas y aperitivos, quesos y embutidos artesanos. Ver menos",5 º,Torolé Nara,,Fruit Beer,/cervezas/torole-nara
22 IBU,Cabbeer,"Cabbeer Excite
Elaborada con maltas tostadas de cebada y un ingrediente extremadamente exclusivo: Ajo Negro.
Muy valorado en la alta cocina, con múltiples propiedades tanto organolépticas como para la salud, rico en antioxidantes. Un contenido ... Ver más de 5.5%, aromas a regaliz y caramelo y color ambar intenso. Ver menos",22 IBU,Cabbeer Excite,,"Spice, Herb o Vegetable Beer",/cervezas/cabbeer-excite
"starstar_halfstar_borderstar_borderstar_border 1,50",Monkey Beer,"Akira
Sabor cítrico y afrutado con un suave amargor y aroma a lúpulo, balanceado con toques de maltas caramelo.
Perfecta para combinar con comidas picantes, japonesa o marroquí; carnes asadas y quesos fuertes.","starstar_halfstar_borderstar_borderstar_border 1,50",Monkey Beer Akira,,Pale Ale,/cervezas/monkey-beer-akira
4.9 º,La Quince BreweryGalotia Brewing,"Canary Islands
Sour Ale
Sour - Berliner Weisse con fresas, melocotón y lactosa con fondo de cereal (trigo).",4.9 º,La Quince / Galotia Canary Islands,,Sour Ale,/cervezas/la-quince---galotia-canary-islands
12 IBU,Agüita!,"Aguita! Rubia de Trigo
Una cerveza rubia de trigo, ligera , con hierbas aromáticas que complementan su sabor (naranja, cilantro, tomillo, romero).",12 IBU,Agüita! Rubia de Trigo,,Ale,/cervezas/aguita--rubia-de-trigo
50 IBU,La Real del Duero,"Riberipa
Estilo tradicional inglés. Se maduraba en barriles de roble al menos durante un año. Generalmente se bebe en invierno.
Con materias primas de excelente calidad esta cerveza. Macerada a altas temperaturas y con una fermentación incompleta ... Ver más de ella una cerveza compleja que con el tiempo continúa mejorando. Sin filtrar ni pasteurizar. Con 2ª fermentación en botella.
De color rojo caoba oscuro, con una espuma densa y persistente, en nariz inicialmente notamos los descarados aromas del cítra que destacan sobre los aromas de la malta que se dejan notar posteriormente aportando un equilibrio entre frutas tropicales y aromas torrefactos, a café, caramelo…
Sabor intenso y final balanceado de agradable amargor. En boca entra amarga, se aprecian notas torrefactas de la malta, pino y resina, dando paso a un sabor más dulce con notas de caramelo y flores. Presenta un cuerpo medio y una carbonatación ligera/ media, el final es amargo y dulce.
Maridaje: Aperitivo, comidas especiadas, picantes, salazones y encurtidos. Ver menos",50 IBU,La Real del Duero Riberipa,,India Pale Ale,/cervezas/la-real-del-duero-riberipa
45 IBU,Drunken Bros Brewery,"Drunken Bros XII Trece
Imperial Nut Hickory Wood Aged
Imperial Nut Brown brewed with roasted almonds, hazelnuts and walnuts mashed in colombian aged rum. Hickory wood aged.
Una Imperial Nut elaborada con frutos secos (Nueces, almendras y avellanas) ... Ver más y macerados en ron añejo y además envejecida con madera de nogal.
De color marrón brillante, espuma blanca muy cremosa y duradera. Bien servida genera una bonita e hipnotizante cascada al formarse la espuma. Carbónico moderado. Densa y oleosa en boca es lo primero que sorprende.
Aromas a turrón, caramelo, toffee y frutos secos varios. Sabores acaramelados, no es dulce, es equilibrada y nada empalagosa, con recuerdos a bollería, licorosa y con un retrogusto intenso a frutos secos como nuez, avellana.... Altamente bebible, sin rastro de sus 9,5% de alcohol. Peligrosa.
¿Por qué se llama XIII?
Celebramos nuestro 3er aniversario como marca y da la casualidad que es nuestra decimotercera receta.Además inauguramos con ella una nueva serie de cervezas que hemos bautizado como Nightmare Series. XIII es la primera de muchas que vendrán. Ver menos",45 IBU,Drunken Bros XIII Trece,,American Brown Ale,/cervezas/drunken-bros-xiii-trece
8 º,Garage Beer CoBarrier Brewing Company,"That Chihuahua
DIPA con lúpulos mosaic, palisade y BRU-1 en colaboración con Barrier Brewing Co.",8 º,Garage Beer Co / Barrier Brewing That Chihuahua,,Imperial IPA,/cervezas/garage-beer-co---barrier-brewing-that-chihuahua
5 IBU,Basqueland Brewing Project,"Basqueland Gatza Gose
Es la primera cerveza agria de Basqueland inspirada en la Gose tradicional de Leipzig, Alemania. Es de color dorado con un toque de bruma. La sal de mar Vasca añadida durante la elaboración de la cerveza hace que esta cerveza ... Ver más ligera y salada al mismo tiempo. Es una cerveza de baja graduación perfecta para el verano o para disfrutar con la comida, preferiblemente Vasca. Ver menos",5 IBU,Basqueland Gatza Gose,,Sour Ale,/cervezas/basqueland-gatza-gose
"starstarstarstarstar_half 4,50",Quer,"Una Stout de color negro intenso, brillante y con una espuma de color tostado, densa y persistente. Aroma a maltas tostadas con notas de regaliz y café, de cuerpo generoso con retrogusto típicodel lúpulo utilizado y ligeramente amarga","starstarstarstarstar_half 4,50",Quer Pacific Gem,,Stout,/cervezas/quer-pacific-gem
35 IBU,Sesma Brewing,"Los Huertos III
Double Dry Hopped Strawberry Milkshake India Pale Ale.
",35 IBU,Sesma Los Huertos III,,American IPA,/cervezas/sesma-los-huertos-iii
5.5 º,Belona,"Belona American Pale Ale
Cerveza de tipo American Pale Ale. De color dorado e intenso sabor y aroma a lúpulo.
Es un tipo de cerveza refrescante de gran aceptación entre los consumidores de cerveza artesanal. Con toques cítricos potenciados por ... Ver más uso de lúpulos y levaduras americanos y una buena carbonatación. Ver menos",5.5 º,Belona American Pale Ale,,American Pale Ale,/cervezas/belona-american-pale-ale
7 º,Naparbier,"Naparbier Kill Santa Death I
IPA con lúpulos Chinook y Centenial, edición especial Navidad 2017.",7 º,Naparbier Kill Santa Death I,,India Pale Ale,/cervezas/naparbier-kill-santa-death-i
5 º,Zorro de Oro,"Zorro de Oro Rubia Original
American pale Ale. Una Ale rubia, refrescante, sutil y sabrosa con toques de cítricos
--------------
Освежающий, изысканный, вкусный, светлый эль с цитрусовыми нотками.
Цвет ... Ver más светло оранжевый, золотистый
Пена - крепкая белая
Аромат - умеренная сладость с легкими нотками цитрусовых. Присутствует слабый пряно-травяной аромат хмеля, но он не заглушает остальные характеристики. В ярком аромате пива раскрывается свежий букет цветов и цитрусовых
Вкус - приятная сладость с цитрусовой фруктовостью. Освежающий бодрящий с сухим финалом. Хмелевая горечь средне-слабая и не мешает освежающим вкусам фруктов и пряностей, а также не остается в финале  Ver menos",5 º,Zorro de Oro Rubia Original,,American Pale Ale,/cervezas/zorro-de-oro-rubia-original
44 IBU,Spunk Beer,Spunk Beer Trigo,44 IBU,Spunk beer Trigo,,Weizen-Weissbier,/cervezas/spunk-beer-trigo
"starstarstarstarstar 5,00",La Cervezuca,"LA SEÑORITA PALE: nuestra tostada en una mujer hecha y derecha, más equilibrada, ligeramente ácida y con olores melocotones y pomelos.Elaborada con tres tipos de malta y tres tipos de lúpulos, 5 grados de alcohol, poco amarga y fácil de beber.De ... Ver más anaranjado y sabores suaves cítricos.La SEÑORITA PALE  es una cerveza alta fermentación, con 5% de Alcohol, 26 EBCs de color y 28 IBUs de amargor. Las maltas son su nota aromática predominante, aunque no son los únicos rastros dulces. Fruto de la levadura y la segunda fermentación en botella hay atractivos rastros de pan y bollería. A estos acompañan la pera y el albaricoque secos.Maridaje: escabeches, pescados y carnes. Ver menos","starstarstarstarstar 5,00",La Cervezuca La Señorita Pale,,Pale Ale,/cervezas/la-cervezuca-la-senorita-pale
54 IBU,Garapar Artisauak,"Tolare
IePA
Indiar Euskal Pale Ale",54 IBU,Garapar Tolare,,India Pale Ale,/cervezas/garapar-tolare
"starstarstarstarstar 5,00",Tyris,"Tyris Pim Pam Pumpkin Ale
Muy aromática y especiada como principal protagonista se encuentra la calabaza asada acompañada por las especias.
Cerveza elaborada con los ingredientes característicos del pastel “Pumpkin Pie” americano. En nuestro ... Ver más con calabazas valencianas que aportan un carácter más dulce que sus parientes americanos. Ver menos","starstarstarstarstar 5,00",Tyris Pim Pam Pumpkin Ale,,Pumpkin Ale,/cervezas/tyris-pim-pam-pumpkin-ale
"starstarstarstar_halfstar_border 3,70",Santa Pau Ales Cervesa Volcánica,"Santa Pau Blowing In The Wind
Brown Ale","starstarstarstar_halfstar_border 3,70",Santa Pau Blowing In The Wind,,English Brown,/cervezas/santa-pau-blowing-in-the-wind
204 IBU,Engorile - U-Hops,"King Hop
Imperial IPA
King Hop es una cerveza de cuerpo, mucho cuerpo, cómo marca el estilo. Color anaranjado, extremadamente turbia. En nariz es potente, predominante el aroma tropical gracias a su triple Dry Hop de 20,5 gramos/litro y a la combinación ... Ver más lúpulos de los cuales predomina el Azzacca. En boca es llena, sedosa, muy agradable, donde no se aprecian aristas de amargor ni sus 8,5 grados de alcohol. Sabrosa, de notas afrutadas con un final ligeramente resinoso, donde nos recuerda que es una imperial Hazy IPA. King Hop, el rey del lúpulo.
---------------------
King Hop, la imperial IPA hecha con un triple dry Hop de lúpulos Azzaca, simcoe y chinook. Una bestia de 8,5% ---------------------
King Hop, the imperial IPA brewed with a triple dry Hop of Azzaca, simcoe and Chinook hops. A beast of 8.5%  Ver menos",204 IBU,Engorile King Hop,,Imperial IPA,/cervezas/engorile-king-hop
"starstarstarstarstar_border 3,80",4 Alqueries Cervesa Artesana,"4 Alqueries Tomahawk Pell Roja
Cervesa color ambre fosc. Bona de beure i refrescant. Aromes dels millors malts europeus i els llúpols americans Centenial i Columbus. Ben balancejada, no es noten els 35 Ibu’s amagats entre la dolçor de la malta.Etiqueta ... Ver más pel meu bon amic Antoni Armella ----------------------------------
Cerveza color ámbar oscuro. Buena de beber y refrescante. Aromas de los mejores maltas europeos y los lúpulos americanos Centenial y Columbus. Bien balanceada, no se notan los 35 Ibu s escondidos entre la dulzura de la malta.Etiqueta diseñada por mi buen amigo Antonio Armella Ver menos","starstarstarstarstar_border 3,80",4 Alqueries Tomahawk Pell Roja,,American Amber Ale,/cervezas/4-alqueries-tomahawk-pell-roja
6.1 º,Naparbier,"Naparbier The Crimson Bird Raspberries
Serie de cervezas de estilo saison hermana de The Crimson Bird Strawberry. En este caso nos encontramos con una cerveza sabrosa con toque a frambuesa.",6.1 º,Naparbier The Crimson Bird Raspberries,,Saison,/cervezas/naparbier-the-crimson-bird-raspberries
"starstarstar_halfstar_borderstar_border 2,60",Font Salem,Fabricada por Font Salem (grupo Damm) para los supermercados Lidl de España y Portugal,"starstarstar_halfstar_borderstar_border 2,60",Argus 100% Malta,,Lager,/cervezas/argus-100_-malta
"starstarstarstar_halfstar_border 3,50",Barcino Brewers,"Barcino Raval IPA
Una IPA al estilo moderno, de color dorado profundo y espuma abundante. El amargor es el protagonista, seguido de diferentes sabores cítricos y florales que permanecen.
","starstarstarstar_halfstar_border 3,50",Barcino Raval IPA,,India Pale Ale,/cervezas/barcino-raval-ipa
7.2 º,Edge BrewingDry & Bitter Brewing Company,"Blush
Rosé IPA",7.2 º,Edge Brewing / Dry & Bitter Blush,,American IPA,/cervezas/edge-brewing---dry---bitter-blush
"starstarstar_halfstar_borderstar_border 2,50",Mahou San Miguel,"Mahou Maestra - Maestra Doble Lúpulo
La cerveza tostada doble lúpulo
Mahou Maestra convence y enamora a los paladares más exigentes con un sabor intenso y un gran cuerpo que desembocan en un sabor único caracterizado por su doble lúpulo. Una ... Ver más tostada, con gran variedad de matices; pensada para saborear los momentos especiales más intensamente.
Cerveza tostada con reflejos anaranjados, Mahou Maestra nace para ser la cerveza perfecta con la que disfrutar de aquellas ocasiones en las que buscas algo más.
Caracterizada por el sabor intenso que le otorga la combinación de lúpulos amargos, que aportan un amargor suave y ligero, y lúpulos aromáticos, capaces de sumar notas cítricas y florales. Una cerveza de fuerte personalidad gracias a su mayor graduación, Mahou Maestra es el reflejo de más de 125 años de experiencia, surgida de la inspiración de nuestros Maestros Cerveceros que buscan aportar elegancia y jovialidad a los momentos especiales. Ver menos","starstarstar_halfstar_borderstar_border 2,50",Mahou Maestra,,Lager,/cervezas/mahou-maestra
52 IBU,Bonvivant,"Bonvivant Hoppy Xmas
Indian Pale con un aroma a frutos rojos, cereal y caramelo. Fruta y flor en tu boca nada más probarla. ",52 IBU,Bonvivant Hoppy Xmas,,India Pale Ale,/cervezas/bonvivant-hoppy-xmas
"starstarstarstar_halfstar_border 3,40",As Cervesa Artesana,"Fuck The Queen
Cerveza correspondiente a la serie limitada Ephimeral Series","starstarstarstar_halfstar_border 3,40",As Fuck The Queen,,India Pale Ale,/cervezas/as-fuck-the-queen
4.7 º,Cerveza MilanaMalnombre,"Carolina del Sour
Sour Ale para con kombucha (té fermentado), con hibisco y frutos del bosque",4.7 º,Milana / Malnombre Carolina del Sour,,Sour Ale,/cervezas/milana---malnombre-carolina-del-sour
