,Name,Style,Description
6384,Dorita Premium Ale ,Ale - 4.2 º - 35 IBU,"Premium Británica de color ambarino, limpida. Burbuja medio-grande, con baja saturación. Típica nariz de una Ale británica, donde el lúpulo es elemento clave y se muestra en primer término, con olores a malta detrás y algunos ecos a caramelo. La entrada en boca es debilmente dulce, con n ..."
6385,Dorita Blond Strong Ale ,Belgian Golden Strong Ale - 6.8 º - 29 IBU,"Cerveza con aroma floral complejo, cuerpo denso, de gasificación alta, dulce, alcohólica y refrescante con muchos matices en el sabor y de amargor ligero."
6386,Dorita Dark Strong Ale ,Belgian Dark Strong Ale - 7.4 º - 30 IBU,"Cerveza de estilo Dark Strong Ale Belga, de aroma dulce a galleta y moka, cuerpo robusto, gasificación alta, sabor profundo y lleno con notas a pasas y café, de amargor ligero"
6387,Dorita Belgian Blond ,Belgian Blonde Ale - 6.6 º - 27 IBU,"Cerveza de estilo ale belga rubia. Color pajizo anaranjado. Buena espuma blanca cremosa y poco persistente. Sobresalen aromas de fruta marcados, en especial a albaricoques maduros, junto a naranja dulce. de boca densa y dulce, poco amargor, gasificación media. De sabor dulce con notas muy afru ..."
6388,"Bizantina Lager starstarstarstar_borderstar_border 3,16 ",Pale Ale - 5.5 º,"Cerveza Artesana de Cebada Lager
Es una cerveza lager diferente, nuestra propuesta para los verdaderos amantes de la cerveza con carácter, debido a los niveles de dureza del agua con la que se hace.
Fermentada durante 15 días y madurada durante 4 semanas para que desarrolle todo su potencia ..."
6389,"Alpujarra Amber Ale starstarstarstar_borderstar_border 3,18 ",Amber Ale - 5 º - 24 IBU,"Cerveza de fermentación tipo ALE, con un color Ambarino intenso, en su proceso de elaboración intervienen 4 Maltas y diversos Lúpulos, obteniendo una receta bien equilibrada con un exquisito sabor a cereal y caramelo, finalizando con toques tostados en paladar y su persistente espuma fina y  ..."
6390,Ceivada Toma de Terra ,"Spice, Herb o Vegetable Beer",Edición limitada Toma de Terra con frores sabugueiro e níspero.Edición limitada Toma de Terra con flores de Saúco y Níspero.
6391,Ceivada Rye APA ,German Wheat and Rye Beer,"Ceivada Rye APA, 4 Maltas de cebada, centeno y trigo. 4 lúpulos aromáticos.Elaborada con  Cervexa Artesá Ancora (Ourense)"
6392,"Zulogaarden Llupulofilia Sexualis starstarstarstar_halfstar_border 3,61 ",American IPA - 7 º - 56 IBU,Zulogaarden Llupulofilia Sexualis
6393,"Califa Sultana starstarstarstar_halfstar_border 3,60 ",Stout - 7.2 º,"La Sultana es una cerveza negra 100 % andaluza de cuatro maltas
Tiene un cuerpo denso, un sabor a café con toques de chocolate y el color de una noche sin estrellas. Una cerveza para tomar mientras se contemplan los misterios de Córdoba
 "
6394,"Califa IPA starstarstarstar_halfstar_border 3,69 ",India Pale Ale - 6.3 º,De los antiguos viajes de los ingleses a sus colonias en la India nació este estilo (IPA). Un largo viaje que la cerveza sólo soportaba a base de enriquecer la mezcla con más alcohol y lúpulo
6395,"Laugar Aupa Tovarisch Russian Imperial Stout starstarstarstarstar_border 4,09 ",Imperial Stout - 11.3 º - 40 IBU,"Laugar Aupa Tovarisch Russian Imperial Stout
Imperial stout que pincharon en las ediciones de 2013 de Noblejas y Mediona, y también en versión envejecida en barrica para el Borefts Festival de De Molen en Holanda. A finales de 2014 ve la luz en botella.
Una cerveza que no olvidarás, una vez  ..."
6396,"La Petra La Cabaña de Valerio starstarstarstarstar_half 4,60 ",Fruit Beer - 7 º - 18 IBU,"Saison en colaboración con la gente de Mateo & Bernabe hecha con mermelada de endrinas, ralladura de naranja ecológica y jengibre. Coinoculada con dos cepas, sach y no sach."
6397,"Ilda’s Clot starstarstarstar_halfstar_border 3,50 ",India Pale Ale - 6.5 º - 72 IBU,"CLOT, la llupulosa
De inspiración angloamericana para paladares más desarrollados.
D’inspiració anglo-americana, Clot és una cervesa en la qual s’accentuen l’amargor i els aromes del llúpol americà. Un caldo amb personalitat pels qui presumeixen d’un paladar selecte capaç de re ..."
6398,"Ilda’s Torr starstarstarstar_halfstar_border 3,43 ",Belgian Strong Ale - 7.5 º - 30 IBU,"TORR, la fosca
De inspiración belga; negra, dulce y con cuerpo.
Torr és una cervesa d’inspiració belga: fosca, dolça i amb cos. Un viatge al passat, un passeig pels cellers de les abadies i un homenatge als mestres cervesers que fa segles ens van deixar el seu llegat en forma d’aquest ..."
6399,"Ilda’s Ros starstarstarstar_halfstar_border 3,26 ",Pilsner - 4.8 º - 24 IBU,"ROS, la Pilsner
Un homenaje a la famosa cerveza rubia checa.
Ros és una cervesa pilsner rosa d’inspiració txeca elaborada amb ordi maltejat a terra, que junt amb el clàssic llúpol txec Saaz/Zatec, fa d’aquest brevatge un autèntic tast de la famosa cervesa rossa txeca."
6400,"Ilda’s Mat starstarstarstar_halfstar_border 3,34 ",Weizen-Weissbier - 5.2 º - 12 IBU,"MAT, la de trigo
De trigo y elaborada según la tradición germánica.
Creada pels nostres experts cervesers, Mat és una cervesa de blat elaborada segons la tradició bavaresa, amb ingredients típics germànics.Un sabor únic que et transportarà a les tradicionals brauhaus d’Alemanya."
6401,Obsevatorio Cervecero minIPA ,India Pale Ale - 3 º - 50 IBU,"Primera prueba todograno de poquitos litros muy mal filtrada, elaborada en verano de 2012."
6402,Mutant Freak Attack India Brown Ale ,American Brown Ale - 7 º - 60 IBU,"Elaborada especialmente en 2012 para la comida anual de Navidad entre amiguetes.Todo comenzó una bonita mañana de diciembre en la que Nachete recibió por correo su nueva adquisición friki. Tras un error de logística de Amazón, recibió el codiciado Necronomicón que, entrado en resonancia ..."
6403,Portergeist Baltic Oatmeal Porter ,Baltic Porter - 7 º - 100 IBU,"Tras la reconquista rural provocada por la falta de empleo en las ciudades, unos inconscientes cerveceros plantaron sus ingredientes donde tiempo atrás hubo un importante cementerio celta.Los espíritus encontraron, en la abisal negrura de su cerveza, un portal de acceso a este mundo. Tras un  ..."
6404,ñAPA American Pale Ale ,American Pale Ale - 4.5 º - 35 IBU,"Esta ñAPA está dedicada a nuestra querida y vieja Europa, que se está viendo amenazada por el total de su influenciable, ignorante y necia ciudadanía.Vagos parados, desahuciados, mileuristas, sucios vagabundos, perroflautas, escarches nazis, indignados, yayoflautas seniles, chupópteros, ma ..."
6405,"Henares Cobre starstarstarstar_halfstar_border 3,31 ",American Pale Ale - 5.2 º - 45 IBU,"Henares Cobre nació para introducir a la gente en el mundo de la cerveza artesanal. Estilo American Pale Ale. Amargor medio (45 IBU), ligeramente afrutada por el lúpulo americano ""Amarillo"".
Las notas cítricas y afrutadas, con un punto de caramelo de esta cerveza maridan bien con quesos cre ..."
6406,"JK Nit starstarstarstar_halfstar_border 3,29 ",Stout - 4.7 º - 50 IBU,"La JK Nit es una cerveza negra, inspirada en las Stout pero con una carga de cereales poco habitual. Empleando lúpulo Challenger (50 EBU), las maltas de trigo combinan con los sabores más tostados típicos de este estilo.
Cuando comenzamos a hacer cerveza en casa era habitual que acabáramos ..."
6407,"Quer Siberian Black starstarstarstarstar_border 3,91 ",Russian Imperial Stout - 9.5 º - 60 IBU,"Sabrosa y compleja, tiene una gran variedad de maltas tostadas, ligero toque a café y chocolate. Los lúpulos están bien integrados, pero el aroma y el gusto, justo para una Imperial Stout, tiene color negro intenso, el alcohol está presente y bien integrado. Es una cerveza para disfrutar y  ..."
6408,"Reptilian Apokalypse Porto Barrel Aged starstarstarstarstar_border 4,21 ",Russian Imperial Stout - 11.5 º - 100 IBU,"Apokalypse Porto Barrel Aged
Russian Imperial Stout envejecida en roble de vino Oporto."
6409,Ales Agullons Black Ale ,English Brown - 5.3 º,Colaboración entre Ales Agullons y los homebrewers Ester i Marc.
6410,"Cotoya Siderale starstarstarstar_halfstar_border 3,48 ",Fruit Beer - 5.8 º - 15 IBU,"Cotoya Siderale
Cerveza de malta de cebada y mosto de manzana asturiana
Según año puede variar alcohol +/- 6 e IBUs +/- 15"
6411,"Zulogaarden Dolor de Llupol starstarstarstarstar_border 3,90 ",India Pale Ale - 6 º,"Zulogaarden Dolor de Llupol
  IPA monovarietal"
6412,Zulogaarden Weizenbocker ,Weizenbock - 8 º,Zulogaarden Weizenbocker
6413,Zulogaarden Schraderbräu ,Weizen-Weissbier - 7 º - 50 IBU,"Zulogaarden Schraderbräu
Hopfenweisse"
6414,"DeSkaeg Forar starstarstarstar_halfstar_border 3,52 ",India Pale Ale - 6.01 º - 52 IBU,Forar
6415,"Fort Local Beer Polaris starstarstarstar_halfstar_border 3,50 ",Lager - 6.5 º,
6416,"Son of a Bitch starstarstarstarstar_border 3,83 ","Spice, Herb o Vegetable Beer - 9 º - 85 IBU","Ingredientes: agua, malta de cebada, malta de trigo, malta de centeno, aveno, miel, melaza, lúpulo, vainilla, cardamomo, ron añejo de 12 años y levadura."
6417,Fray Cui ,No Definido - 10.3 º,"Quadrupel.No es trapense ni belga, pero nuestra cuadruple guarda todo el espíritu de las grandes cervezas de allí. Hecha en Toledo con levadura, malta y azúcar belga no sale al mercado antes de ocho meses de guarda en botella. Con un toque de simcoe."
6418,"Keks cervesa de Fajol Negra starstarstarstar_borderstar_border 3,07 ",Specialty Beer - 4 º,"Keks cervesa de Fajol Negra
Keks de trigo sarraceno, negra, con ratafía Russet"
6419,"El Oso y el Cuervo Strigoi starstarstarstar_halfstar_border 3,46 ",Porter - 6 º - 45 IBU,Sour Porter. Vintage 2013
6420,Wevoo ,English Brown - 7 º,Colaboración entre Popaire y Keks para el Festival de Cinema Western Volcànic de la Garrotxa.
6421,"Popaire Russian Imperial Stout starstarstarstar_halfstar_border 3,36 ",Imperial Stout - 13 º,Russian Imperial Stout
6422,Popairas ,Wood-Aged Beer,Barley wine envejecida en barrica hecha en colaboración entre Popaire y As.
6423,"As Bastard Joker starstarstarstarstar_border 3,96 ",Imperial IPA - 11.1 º - 235 IBU,"As Bastard Joker
Imperial Doble IPA
Ephemeral Beer Series
Etiqueta diseño de Manu Garcia."
6424,"La Pirata Le Petit Fermier starstarstarstar_halfstar_border 3,65 ",Saison - 4.5 º - 22 IBU,Desde las granjas del Bages llega este nuevo estilo de inspiración francesa.
6425,Domus Madiba 1918-2013 ,Imperial Stout - 8.1 º,"Madiba
Cerveza homenaje a Nelson Mandela (de ahí la fecha en el nombre). En la etiqueta se puede leer la frase ""una buena cabeza y un buen corazón son una combinación formidable""."
6426,"Marbel Indian Pale Ale starstarstarstar_halfstar_border 3,53 ",India Pale Ale - 6.5 º,"Marbel Indian Pale AleLa Marbel Indian Pale Ale es una cerveza con marcado caracter herbal, muy refrescante y acompañado por el amargor y el volumen alcohólico característico de una IPA."
6427,Marbel Porter ,Porter - 4.7 º,Marbel Porter
6428,Marbel Witbier ,Witbier - 5 º,"Marbel WitbierLa Marbel  Witbier es una cerveza de trigo al más estilo belga, blanquecina y ligera con poca carga carbónica y aromas a cilantro y cítricos"
6429,Marbel American Brown Ale ,American Brown Ale - 5.5 º,"Marbel American Brown Ale
La Marbel American Brown Ale es una cerveza de carbonatación media, con el caracter que siempre aportan los lúpulos norteamericanos con un color marrón brillante y de cuerpo ligero."
6430,"Quer Blat starstarstarstar_borderstar_border 3,00 ",Weizen-Weissbier - 4.5 º - 12 IBU,"De color amarillo pálido, turbia por el trigo utilizado y con una espuma blanca y persistente. Cerveza fresca y con aromas florales y con un punto ácido con notas de cereal, de final seco y refrescante.
----------------------------------
De color groc pàl·lid, tèrbola pel blat utilitzat  ..."
6431,Gross Citra Ale ,Pale Ale - 5 º - 28 IBU,"Pale Ale elaborada con malta Pilsen Premium. Una malta a base de cebada de verano que aporta un color extra claro y un fino aroma. Citra es el único lúpulo empleado en esta receta y encargado de su amargor así como de sus aromas cítricos.
¡Terraceo extremo! Verano y buen rollo embotellado ..."
6432,Holz Kunta Kinte ,No Definido - 3.4 º - 72 IBU,Holz Kunta Kinte
6433,Drunken Bros Bryce Ale ,Red Ale - 9 º,Drunken Bros Bryce Ale Eccentric Double RedAñejada con madera de roble de barrica de oporto. Va a gustar a los amantes del lúpulo. Retrogusto sutil a madera y oporto. Una explosión de sabor y aroma
6434,"La Granja de Goose starstarstarstar_borderstar_border 3,21 ",Pale Ale - 4.5 º - 28 IBU,"La Granja de Goose - Goose Pale Ale  
Esta Pale Ale de Segovia por su complejidad de aromas y sabores marida a la perfección con la gastronomía segoviana.
Nuestra primera Cerveza, la “Goose Pale Ale”, está inspirada en la Pale Ale Americana, con un gusto adaptado a nuestro carácter seg ..."
6435,"Enigma Origen starstarstarstar_borderstar_border 2,94 ",American Brown Ale - 5.5 º - 27 IBU,"Enigma Origen
Una cerveza estilo Brown Ale, de color tostado oscuro (36EBC), con 5’5º de alcohol y 27 IBU´s de amargor. Una cerveza oscura con personalidad pensada también para los que no les gustan las cervezas negras.
Apariencia: Cerveza de color marrón oscuro, con ligera turbidez. Es ..."
6436,"Portus Imperial Stout starstarstarstar_halfstar_border 3,40 ",Imperial Stout - 9.3 º - 48 IBU,"Esta es de las pocas cervezas que uno puede tomar como un postre o un aperitivo perfecto. En nariz intenso aroma a café torrefacto en garganta equilibrado amargor al paso de garganta que nos deja matices sorprendentes que se extinguen en el retrogusto con un claro sabor a chocolate negro, con  ..."
6437,"Maiken Psycho Tropic starstarstarstar_halfstar_border 3,45 ",India Pale Ale - 4 º - 38 IBU,"Maiken Psycho Tropic
Psycho-Tropic, una Tropical Ale de 4º fruto de la colaboración con Drunken Bros.
Pysicho Tropic es una Tropical Ale con un aroma a frutas tropicales muy exóticas, que son el mango y la maracuyá. Este aroma caracteriza esta cerveza, conseguido con una mezcla de tres ti ..."
6438,"Maiken Heisenbierg starstarstarstar_halfstar_border 3,68 ",Imperial IPA - 8 º - 80 IBU,"Maiken Heisenbierg
Heisenbierg es una Imperial Pale Ale (IPA) caracterizada, principalmente, por su fuerte sabor amargo y su alta graduación. Sus 8ºC de alcohol se equilibran a la perfección con el dulce caramelizado de las maltas especiales. Esta mezcla de sabores y aromas hacen de esta ce ..."
6439,"Bronhër Drink Me Alive starstarstarstar_halfstar_border 3,33 ","Cream Ale - 5.5 º - 13,5 IBU","Hacë ya døs cicløs brønhëricøs dësdë quë nuëstrø más famøsø ëxpløradør, Christøphørus Cølumbus (al quë løs humanøs  cønøcën cømø Cristóbal Colón) dëjó la isla y ëmbarcó a børdø dë su navë La Pinta dë Cërvëza para avisar a sus familiarës amëricanøs d� ..."
6440,"Brutus starstarstarstar_borderstar_border 2,95 ",Lager - 5 º,"Brutus
2019 - El grupo Mahou San Miguel controla la marca y pasa a producir la cerveza en los centros de producción de la compañía situado en Alovera (Guadalajara).
Está elaborada en una de las fábricas de cerveza más antiguas del mundo, ya que fue fundada el año 1308 y cuenta con siete ..."
6441,"Sevebrau EX 1 IPA Seveboris starstarstarstar_halfstar_border 3,73 ",India Pale Ale - 7 º - 80 IBU,"Sevebrau EX 1 IPA Seveboris
Medalla de bronce en el ""International beer Shanghai festival 2014″, en la categoría de “Pale Ale and IPA”, una competición organizado por Bevex.
Con 4 lúpulos americanos.
Cerveza elaborada por Sevebrau y Boris Brewery ( Boris de Mesones).
Cerveza arte ..."
6442,"Laugar EPA starstarstarstar_halfstar_border 3,46 ",American Pale Ale - 5.2 º - 40 IBU,"Laugar EPA - Euskadiko Pale Ale
Sal del rebaño con esta reinterpretación de una american pale ale. De perfil pálido, refrescante con predominio de sabores y aromas cítricos y florales debido a la carga de lúpulo. Final seco y amargo, fiel a su estilo, con largo retrogusto.
Una american p ..."
6443,Galana Te Negro con Chocolate ,"Spice, Herb o Vegetable Beer - 4.6 º",Elaborada con té negro al chocolate
6444,"Galana Te Rojo Japan starstarstarstar_borderstar_border 3,00 ",Specialty Beer - 5 º,"Otra de las especialidades de Galana que incluye té en su elaboración, en este caso, té rojo de Japón"
6445,"Caleya Goma 2 IPA starstarstarstarstar_border 3,89 ",India Pale Ale - 6.3 º - 42 IBU,"Caleya Goma 2 IPA
Cerveza de alta fermentación elaborada con una malta. Sabores y aromas tropicales donde el lúpulo predomina por encima de la malta. Refrescante y explosiva."
6446,"Viriato Terror Romanorum starstarstarstar_borderstar_border 3,02 ",American Brown Ale - 6 º - 25 IBU,"Viriato “Terror Romanorum”, es una cerveza ALE, de intenso aroma afrutado y complejo sabor. Su color es caoba, con tonos ámbar. Al ser catada en copa, se observa una moderada cantidad de espuma, muy fina y persistente. Siendo la turbidez característica de un proceso natural, sin filtraci ..."
6447,Roya Dorada ,Pale Ale - 4.5 º - 34 IBU,"Roya Dorada.
Cerveza tipo Pale Ale. Refrescante y fácil de tomar, pero con cuerpo, de sabores herbáceos, afrutados y un agradable gusto amargo de 34 IBUS. 
Ideal para refrescarse sin renunciar al sabor. 
Las dos maltas pálidas de cebada le dan un bonito color ámbar de 13 EBC y la terce ..."
6448,Roya Tostada ,Irish Red Ale - 4.5 º - 40 IBU,"Roya Tostada.
Cerveza tipo Irish Red.  Es una cerveza con más carácter y más cuerpo en boca, de marcado sabor a malta tostada, gracias a tres de sus cuatro maltas, que además aportan un bonito color oscuro con reflejos rojizos de 33 EBC.
Sus 40 IBUS de amargor, sitúan a esta cerveza en  ..."
6449,"Quijota Negra starstarstarstar_halfstar_border 3,26 ",Stout - 5 º - 40 IBU,"Una cerveza de moderada graduación alcohólica, elaborada con una combinación de maltas pálidas y torrefactas que le confieren un sabor a la vez suave e intenso.
La interpretación manchega de este estilo consigue una extraordinaria bebilidad y una rica gama de matices, tanto de color como d ..."
6450,"Quijota Morena starstarstarstar_borderstar_border 3,21 ",Düsseldorf Altbier - 5.4 º - 36 IBU,"Una cerveza de un profundo color ámbar y con una gran entrada en boca, producto de las maltas tostadas utilizadas. Elaborada en el típico estilo Altbier de la ciudad alemana de Düsseldorf, de alta fermentación per ocon una larga maduración en frío que acentúa los sabores y afina los arom ..."
6451,"Quijota Rubia starstarstarstar_borderstar_border 2,98 ",Kölsch - 4.8 º - 25 IBU,"Una cerveza de alta fermentación, suave y refrescante, elaborada siguiendo la tradición cervecera de la ciudad de Colonia en Alemania.
Con sólo 4,8%vol. de alcohol se consigue una cerveza, que servida de una vez en el vaso presenta un hermoso color dorado y una gran transparencia, pese a no  ..."
6452,"Jelou Mai Neim is Bárcenas starstarstarstarstar_half 4,33 ",Imperial IPA - 7.8 º,"Jelou Mai Neim is Bárcenas
Jelou Mai Neim is Bárcenas es una Double IPA elaborada por As Cervesa Artesana, Espina de Ferro y Reptilian.
Es una cerveza que se sirve en diferido, para beber en una celda con los amigos que te dé la gana.
Cerveza aromática y floral para combatir el hedor a p ..."
6453,Galponbier Fentáns 999 ,India Pale Ale - 5.9 º - 75 IBU,"Fentáns 999
Cerveza estilo India Pale Ale con lúpulos americanos. Amarga y con cuerpo, aunque muy bebible.Ganadora del concurso de cerveceros caseros en el ZenitBeerFestival (Vigo) 2013."
6454,Galponbier Diaño Morrigan ,Smoke Flavored and Wood Aged Beer - 5.5 º - 65 IBU,"Diaño MorriganSmoked StoutCerveza negra de edición limitada. Elaborada a partir de 7 maltas diferentes que le aportan sabores a café, chocolate y muy especialmente un toque ahumado pero muy suave a la vez, que hace que sea una cerveza espectacular. Ideal para disfrutar en el postre."
6455,Galponbier O Corvo Samon ,English Pale Ale - 6.1 º - 60 IBU,"O corvo Samon
Cerveza tostada de espuma densa y contundente. Predominio de las maltas tostadas, que le dan un aspecto cobrizo y un sabor ligeramente dulce que combina perfectamente con un suave amargor. Muy facil de beber."
6456,"Marbier Amber Ale starstarstarstar_borderstar_border 3,09 ",Amber Ale - 4.8 º,Marbier Amber Ale
6457,"Kince Lupulus 2XIPA starstarstarstarstar 4,90 ",Imperial IPA - 7.5 º - 115 IBU,Quince lúpulos diferentes para esta nueva cerveza nacida de la colaboración entre Keltius y La Quince y el bloguero cervecero Humulus Lupulus
6458,"Baias IPA starstarstarstar_halfstar_border 3,68 ",Imperial IPA - 8 º - 100 IBU,"Baias IPA
 
Baias Doble IPA"
6459,"Baias TX starstarstarstar_halfstar_border 3,33 ",Specialty Beer - 6 º - 14.9 IBU,Baias TXConjunción de maltas y mosto de txakolí de la variedad autóctona Hondarribi Zuri.
6460,Naturbier Tostada ,Vienna Lager - 6.5 º - 22 IBU,"Tostada Lager tipo bock (Dunkel)
Es una cerveza más fuerte con un sabor más intenso (22 ibus). Su contenido alcohólico es elevado (6,5%) “Boch” en Alemán significa LA FUERZA DE UN MACHO CABRÍO. Para su fabricación se utilizan 4 tipos de malta: Malta pálida, malta caramunich, malta a ..."
6461,Naturbier Rubia ,Munich Helles - 5 º - 29 IBU,"Rubia Lager de Baviera (Helle)
Es una cerveza con cuerpo y al ser poco lupulizada su amargura es baja (29 ibus), así como su contenido alcohólico que no pasa del 5,0%. Para su fabricación se utilizan 2 tipos de malta: malta pálida y malta carahell."
6462,Fran Luis 1714 Pilsen ,Pilsner - 5 º,"Cerveza 1714 PilsenDoble fermentación a 20ºElaboraciónCerveza de alta fermentación que recuerda a las Brown Ale de tradición inglesa. Elaborada con maltas caramelizadas de cebada, trigo, lúpulo y levadura.Notas de cataCerveza tostada de aromas frutales matizados por la malta, presenta un  ..."
6463,"Hope Citric starstarstarstar_halfstar_border 3,49 ",American Wheat or Rye Beer - 5.8 º - 26 IBU,"Hope Citric
Summer American Wheat
Rubia, cerveza de trigo con dry hopping. refrescante y cítrica con "" lemongrass"""
6464,"Zythi starstarstarstar_borderstar_border 3,01 ",No Definido - 6 º,
6465,"Moska Beatles Weekend starstarstarstar_halfstar_border 3,40 ",Ale - 4.8 º,Moska Beatles Weekend
6466,"Gargola Kukulkan starstar_borderstar_borderstar_borderstar_border 1,00 ",Special-Best-Premium Bitter - 4.6 º - 40 IBU,"Bitter estilo inglés, un poco amarga y ligera carbonatación
------------------------
Bitter amb un caràcter molt i molt anglès. Una mica amarga i amb un nivell de carbonatació lleuger."
6467,Amazonas Xperience ,Specialty Beer - 5 º,"Mammooth & Vaccevm Amazonas Xperience Edición especial limitada Navidad.
Samba Porter: Una porter clásica con un añadido muy especial de productos traídos desde la amazonía peruana.
De espuma cremosa y persistente, equilibrada en nariz y boca, demuestra el carácter propio de la castaña ..."
6468,Fran Luis Dynamite ,Especial,"Su color es cobrizo y presenta un intenso aroma, que realza su complejidad en boca, con matices de madera y caramelo, siendo su esmerada elaboración la que nos permita disfrutar de un sabor sorprendente del chili.
Sabor suave de cereal y afrutado con la contribución de trigo malteado, que au ..."
6469,Hanselbier Spiced Pumpkin Ale ,Pumpkin Ale - 7 º - 30 IBU,"Hanselbier Spiced Pumpkin Ale - SPA
 "
6470,Hanselbier Nevata Pale Ale ,American Pale Ale - 5.8 º - 37 IBU,"APA realizada con un 75% de lúpulo ecológico Cascade cultivado por nosotros mismos en Nieva, Segovia."
6471,"Sanders Röde Öl starstarstarstar_halfstar_border 3,43 ",Ale - 6.5 º,"Sanders Röde Öl, Color oscuro rojizo , Cuerpo medio con tonos de cafe y chocolate puro, Aroma y amargor discreto pero notable y refinado. Espuma cremosa y duradera. 6,5% Alc"
6472,"Sanders Ayanta starstarstarstar_halfstar_border 3,45 ","Spice, Herb o Vegetable Beer - 6 º","Ayanta Indian ale, Color Rojizo, Cuerpo robusto con tonos de barrica y maltas ligeramente tostadas, espuma abundante y duradera. Aroma y amargor exoticos proporcionados por las plantas aromáticas importadas de India.
 "
6473,Sanders Gustavius ,Ale - 6.2 º,"Gustavius, Color cobre oscuro, Cerveza tostada, cuerpo medio y cremoso. Amargor Medio. 6.2%
 "
6474,Sanders Premium ,Ale - 5.5 º,"Sander´s Premium ,Color ambar, Cuerpo medio, Sabor de malta de Cebada pronunciado y un aroma afrutado, floral. Espuma abundante y duradera. Amargor medio. 5.5% alc"
6475,"Cesc 25 anys starstarstarstar_halfstar_border 3,54 ",Ale - 3.2 º,"Cesc 25 anys
Cerveza conmemoración de los 25 años del restaurante El Racó d’en Cesc. Elaborada por el Somellier Edgar Rodríguez y el Chef Toni Romero con el maestro cervecero Salvador Fortea de Bleder (Fortiverd).
Infusión de manzanilla y pimienta de Sichuan."
6476,"Tyris Diablos Joe! starstarstarstar_halfstar_border 3,49 ",India Pale Ale - 5.2 º - 65 IBU,"Tyris Diablos Joe! - Red IPA""¡Diablos Frank! Nunca te ha pasado que quisiste ofrecer n refrigerio a tus amigos reunidos en casa y solo tenías una de esas frescas industriales ( con sabor a pis de la frontera!)Cáspitas Joe! ¡es cierto: sí que me ha pasado!¡Pues olvida esa pesadumbre!¡ Dej ..."
6477,Funesta Stout ,Stout - 5 º,Funesta Stout
6478,Illice Augusta Moroderi ,Specialty Beer - 7.8 º,"Illice Augusta Moroderi
Imperial Brown Ale de cantueso."
6479,Illice Augusta Cocoa King ,Stout - 7.5 º,"Illice Augusta Cocoa King
Stout con Cacao puro."
6480,Illice Augusta Fum ,Smoke Flavored and Wood Aged Beer - 5 º,"Illice Augusta Fum
Cerveza ahumada."
6481,Illice Augusta Rauchbier ,Classic Rauchbier,"Illice Augusta Rauchbier
Cerveza ahumada."
6482,Illice Augusta Belgian IPA ,Belgian IPA - 7.2 º - 74 IBU,Illice Augusta Belgian IPA
6483,"Bertus Summer Ale starstarstarstar_borderstar_border 2,99 ",Kölsch - 4.8 º - 18 IBU,"Summer Ale
Cerveza de estilo kölsch, elaborada con tres tipos de maltas y dos lúpulos alemanes. Cerveza rubia con poco cuerpo y amargor, pero muy equilibrada. "
6484,"Balate Ter starstarstarstar_halfstar_border 3,26 ",Weizen-Weissbier - 4.8 º,"TER
¿Te gustan las cervezas ligeras? Entonces tu cerveza es Ter. Suave, ligera y con aroma a plátano. La cerveza gourmet de trigo
Suave y ligera, Ter nos convence por su espontaneidad al gusto. Su aroma y carácter sencillo firman la esencia de su encanto.
En la Copa: Mezcla equilibrada d ..."
6485,"Balate Darro starstarstarstar_halfstar_border 3,32 ",Ale - 6 º,"Darro
Oscura y misteriosa. Excelente opción para los amantes del chocolate y el café. Cerveza gourmet oscura, dulce y con notas a café y chocolate
Oscura como el vino tinto, Darro nos seduce por su misterio. Embaucados por su aparente robustez nos sorprende por su afrutada dulzura al palad ..."
6486,"Balate Nil starstarstarstar_halfstar_border 3,25 ",Ale - 4.5 º,"NIL
Amarga, fresca y afrutada. La cerveza de cuerpo cobrizo del público selecto.
Joven y sugerente, Nil nos recuerda nuestra parte más salvaje. Bajo su amargor esconde notas de frescor cítrico.
En la Copa es un atardecer líquido. Sus distinguidas maltas cristalizan un sugerente cuerpo lu ..."
6487,"Ibosim Posidonia Blonde starstarstarstar_halfstar_border 3,30 ",Blonde Ale - 4.2 º - 35 IBU,"Posidonia Blonde Ale
Esta cerveza de estilo golden ale nos sorprende por su ligereza, frescor y su aroma floral. Presenta un limpio color dorado y una minúscula burbuja, con espuma blanca y buena retención.Muy recomendable para abrir el apetito y maridar con aperitivos y entrantes ligeros.En  ..."
6488,L’Ase Penjat American Pale Ale ,American Pale Ale - 6.5 º,L’Ase Penjat Ameriacn Pale Ale
6489,"Guineu Dr. Calypso starstarstarstar_halfstar_border 3,58 ",American Pale Ale - 5.2 º - 40 IBU,"Guineu Dr. Calypso
Half IPA
Cerveza rubia de cuerpo ligero pero ‘reforzada’ con generosas cantidades de lúpulo. Sabor cítrico y floral largo. Es nuestro homenaje al grupo de Ska-Reggae-Soul de Barcelona que hace más de 25 años que hacen bailar a la gente"
6490,"Guineu Marky Ramone´s Choice Beer starstarstar_borderstar_borderstar_border 2,00 ",English Brown - 6 º - 45 IBU,"Guineu Marky Ramone´s Choice Beer - Guineu Marky Ramone’s Natural Brown Ale
Cerveza tostada con cuerpo pero de fácil bebilidad. Gusto de avellana, café y vainilla. Ofrece amplios maridages con diversos tipos de comida i por supuesto escuchando música de Marky Ramone
 "
6491,"Can Luar Fumada starstarstar_halfstar_borderstar_border 2,50 ",Smoke Flavored and Wood Aged Beer - 6 º,Can Luar Fumada
