,Name,Style,Description
95,"Basqueland Oloroso Beltza starstarstarstarstar_border 3,88 ",Imperial Stout - 12.1 º - 50 IBU,"Oloroso Beltza
Imperial Stout aged in Oloroso barrels"
96,Antiga Brut IPA ,Brut IPA - 7.5 º - 35 IBU,"Brut IPA
Se caracteriza por su sequedad, carbonización y una buena carga de lúpulo aromático."
97,Espina De Ferro Abad ,Belgian Tripel,"Abad
Belgian Tripel"
98,"Malandar ADN Tropical starstarstarstarstar_border 3,97 ",Sour Ale - 7 º,"ADN Tropical
Mango, Maracuyá Smoothie Sour
Con puré natural de mango, maracujà y Lactosa."
99,Naparbier / Põhjala Horse Rider ,Baltic Porter - 10.1 º,"Horse Rider
Baltic Porter
En colaboración con nuestros amigos y estrellas del estillo @pohjalabeer.
-------------
Baltic porter made in collaboration with our good friends & stars of the style @pohjalabeer"
100,"Zeta / Mister B Hop Corn starstarstarstar_halfstar_border 3,34 ",Cream Ale - 5 º - 30 IBU,"Hop Corn
Una Cream Ale, de las de beber a morro. Un clásico americano que con la magia de Mister B Brewery hemos reformado para entrar a vivir: dry-hoppings de Cascade y Simcoe, maduración en lagering tanks, mash escalonado y, ojo: ¡un volquete de palomitas de maíz!"
101,"Zeta Lluvia Dorada starstarstarstar_halfstar_border 3,59 ",American IPA - 5.5 º - 30 IBU,"Lluvia Dorada
Con lúpulos Citra y Simcoe y 40 kilates de Yuzu de la terra. Ha quedado una IPA finísima, de las de trago más largo que el Amazonas y puñetazo cítrico de caerse sobre la alfombra. Hagan una cosa: ¡Lluvia Dorada en la copa!"
102,"Zeta / Espiga Alita De Mosca starstarstarstar_halfstar_border 3,71 ",New England IPA - 6 º - 30 IBU,"Alita De Mosca
Una colaboración con Cervesa Espiga, los magos del lúpulo de Sant Llorenç d’Hortons. Nos ha quedado una NEIPA calidad suprema: turbia, sedosa y frutal. Con su levadura Vermont, copos de todos los cereales conocidos y dry-hoppings de dos lúpulos que amamos ambos: Mosaic y Simcoe"
103,"CCVK / Balinadera Bailando con Lobos starstarstarstar_halfstar_border 3,66 ",IPA Otros - 6 º,"Bailando con Lobos
Rye IPA
Colaboración entre CCVK y Cervezas Bailandera. India Pale Ale de centeno aromatizada con jalapeño. Se presenta de un color ambarino oscuro con una espuma blanca cremosa. El centeno aporta textura, sequedad y un punto especiado. Esto combina perfectamente con el jala ..."
104,"Bailandera / CCVK Bailando con Lobas starstarstarstar_borderstar_border 3,16 ",Berliner Weisse - 3.9 º,"Bailando con Lobas
Berliner Weisse
Colaboración entre Cervezas Bailandera y CCVK. Berliner weisse con cerezas elaborada en las instalaciones de Bailandera en Bustarviejo. La cerveza se presenta de un color pajizo turbio con algún reflejo rojizo y espuma blanca. La cereza surge sutilmente en n ..."
105,Click&Brew Iler ,American Pale Ale - 0 º,
106,"Reptilian Apokalypse Bourbon Barrel Aged starstarstarstarstar_border 3,97 ",Imperial Stout - 11.5 º,"Apokalypse Bourbon Barrel Aged
Russian Imperial Stout envejecida durante 6 meses en barricas de Bourbon."
107,"Albert The Great Batch #1 starstarstarstarstar_border 3,99 ",Stout - 12 º - 40 IBU,
